Time,P,V,C
12-16-57-11,0.3770885467529297,-0.010990142822265625,-0.011722564697265625
12-16-57-12,0.3770885467529297,-0.09889984130859375,-0.03516387939453125
12-16-57-12,0.3763256072998047,-0.2967033386230469,4.114284515380859
12-16-57-12,0.4167623519897461,1.0659332275390625,7.021244049072266
12-16-57-12,0.5445566177368164,2.7362632751464844,6.669597625732422
12-16-57-12,0.7875566482543945,4.758243560791016,4.348716735839844
12-16-57-12,1.131265640258789,5.703296661376953,4.0673980712890625
12-16-57-12,1.527618408203125,6.274726867675781,1.8402938842773438
12-16-57-12,1.9304571151733398,6.472526550292969,1.1604385375976562
12-16-57-12,2.3241395950317383,6.1868133544921875,0.8087921142578125
12-16-57-12,2.7273597717285156,6.406593322753906,0.7853469848632812
12-16-57-12,3.1076908111572266,5.74725341796875,1.4652023315429688
12-16-57-12,3.4525442123413086,5.571430206298828,0.996337890625
12-16-57-12,3.7775611877441406,5.263736724853516,1.2776565551757812
12-16-57-12,4.103342056274414,4.9340667724609375,1.9575080871582031
12-16-57-12,4.41615104675293,4.868133544921875,1.6761894226074219
12-16-57-12,4.729724884033203,4.912086486816406,1.6527481079101562
12-16-57-13,5.052070617675781,5.197803497314453,1.2073249816894531
12-16-57-13,5.37098503112793,4.758243560791016,2.3091583251953125
12-16-57-13,5.688373565673828,4.868133544921875,1.8402938842773438
12-16-57-13,5.997367858886719,5.0659332275390625,2.0981674194335938
12-16-57-13,6.323530197143555,5.175823211669922,1.9575080871582031
12-16-57-13,6.642824172973633,5.329669952392578,2.00439453125
12-16-57-13,6.964408874511719,5.0659332275390625,1.5824165344238281
12-16-57-13,7.282558441162109,5.043956756591797,1.8168487548828125
12-16-57-13,7.60338020324707,5.131866455078125,2.332599639892578
12-16-57-13,7.928396224975586,5.043956756591797,1.7230758666992188
12-16-57-13,8.253414154052734,5.131866455078125,1.8871803283691406
12-16-57-13,8.571184158325195,5.219779968261719,2.3560447692871094
12-16-57-13,8.895818710327148,5.219779968261719,1.6996345520019531
12-16-57-13,9.226177215576172,5.417583465576172,1.6527481079101562
12-16-57-13,9.545089721679688,4.978023529052734,2.0278396606445312
12-16-57-14,9.872014999389648,5.329669952392578,1.2073249816894531
12-16-57-14,10.20656967163086,5.197803497314453,1.3245429992675781
12-16-57-14,10.537307739257812,5.417583465576172,1.9106216430664062
12-16-57-14,10.854314804077148,5.329669952392578,1.2776565551757812
12-16-57-14,11.183908462524414,5.175823211669922,1.0901107788085938
12-16-57-14,11.515029907226562,5.263736724853516,1.6058616638183594
12-16-57-14,11.840810775756836,5.109889984130859,1.3245429992675781
12-16-57-14,12.160486221313477,5.395603179931641,1.1604385375976562
12-16-57-14,12.493515014648438,5.219779968261719,1.5120887756347656
12-16-57-14,-12.181086540222168,5.109889984130859,1.9340667724609375
12-16-57-14,-11.862936019897461,4.780220031738281,1.7934074401855469
12-16-57-14,-11.545929908752441,5.0,1.74652099609375
12-16-57-14,-11.225872039794922,5.351650238037109,2.2153854370117188
12-16-57-14,-10.890554428100586,5.263736724853516,2.00439453125
12-16-57-14,-10.558670997619629,5.131866455078125,1.6527481079101562
12-16-57-14,-10.228313446044922,5.483516693115234,1.629302978515625
12-16-57-15,-9.889562606811523,5.263736724853516,1.1604385375976562
12-16-57-15,-9.548523902893066,5.263736724853516,1.25421142578125
12-16-57-15,-9.223506927490234,5.263736724853516,2.00439453125
12-16-57-15,-8.887807846069336,5.131866455078125,1.7934074401855469
12-16-57-15,-8.551346778869629,5.197803497314453,1.4417572021484375
12-16-57-15,-8.222515106201172,4.780220031738281,2.168498992919922
12-16-57-15,-7.893301486968994,5.527473449707031,1.4652023315429688
12-16-57-15,-7.548447608947754,5.637363433837891,1.4183158874511719
12-16-57-15,-7.1913862228393555,5.527473449707031,1.4886436462402344
12-16-57-15,-6.847676753997803,5.527473449707031,1.9106216430664062
12-16-57-15,-6.5058746337890625,5.395603179931641,1.25421142578125
12-16-57-15,-6.157206058502197,5.483516693115234,1.6527481079101562
12-16-57-15,-5.813878059387207,5.109889984130859,1.8168487548828125
12-16-57-15,-5.477035045623779,5.395603179931641,1.371429443359375
12-16-57-15,-5.140192031860352,5.637363433837891,1.2307701110839844
12-16-57-15,-4.790379047393799,5.571430206298828,1.3948707580566406
12-16-57-16,-4.453154563903809,5.901100158691406,1.8168487548828125
12-16-57-16,-4.117074966430664,5.483516693115234,1.7934074401855469
12-16-57-16,-3.7806129455566406,5.219779968261719,1.25421142578125
12-16-57-16,-3.4418630599975586,5.219779968261719,1.4886436462402344
12-16-57-16,-3.105020523071289,5.0,1.6761894226074219
12-16-57-16,-2.7834367752075195,5.043956756591797,1.2307701110839844
12-16-57-16,-2.4412527084350586,5.549449920654297,1.5120887756347656
12-16-57-16,-2.0971622467041016,5.219779968261719,1.6058616638183594
12-16-57-16,-1.7683296203613281,4.846153259277344,1.8871803283691406
12-16-57-16,-1.441023826599121,5.0659332275390625,1.1604385375976562
12-16-57-16,-1.1003665924072266,5.571430206298828,1.4886436462402344
12-16-57-16,-0.7600898742675781,5.461540222167969,2.0981674194335938
12-16-57-16,-0.4201955795288086,5.637363433837891,1.3479843139648438
12-16-57-16,-0.08449649810791016,5.285713195800781,1.1135520935058594
12-16-57-16,0.2599754333496094,5.219779968261719,1.7934074401855469
12-16-57-16,0.6013965606689453,5.351650238037109,1.6996345520019531
12-16-57-17,0.9325170516967773,5.571430206298828,1.1369972229003906
12-16-57-17,1.2697410583496094,5.351650238037109,1.6761894226074219
12-16-57-17,1.6111621856689453,5.219779968261719,2.168498992919922
12-16-57-17,1.9541082382202148,5.6813201904296875,1.4886436462402344
12-16-57-17,2.283322334289551,5.197803497314453,1.9340667724609375
12-16-57-17,2.619783401489258,5.197803497314453,1.1369972229003906
12-16-57-17,2.9619665145874023,5.285713195800781,0.9260063171386719
12-16-57-17,3.2881288528442383,5.285713195800781,1.7230758666992188
12-16-57-17,3.6039905548095703,5.175823211669922,1.4886436462402344
12-16-57-17,3.9381637573242188,5.329669952392578,1.2776565551757812
12-16-57-17,4.275386810302734,5.395603179931641,1.371429443359375
12-16-57-17,4.597734451293945,5.0659332275390625,1.629302978515625
12-16-57-17,4.929235458374023,5.417583465576172,0.996337890625
12-16-57-17,5.266460418701172,5.131866455078125,1.6058616638183594
12-16-57-17,5.602922439575195,5.417583465576172,1.7230758666992188
12-16-57-17,5.926031112670898,4.978023529052734,1.6058616638183594
12-16-57-18,6.261730194091797,5.109889984130859,1.5120887756347656
12-16-57-18,6.599336624145508,5.329669952392578,1.6996345520019531
12-16-57-18,6.938850402832031,5.131866455078125,1.6058616638183594
12-16-57-18,7.257381439208984,5.351650238037109,1.2776565551757812
12-16-57-18,7.596132278442383,5.0,1.8637351989746094
12-16-57-18,7.929540634155273,5.329669952392578,1.5355300903320312
12-16-57-18,8.261425018310547,5.219779968261719,1.371429443359375
12-16-57-18,8.586061477661133,5.351650238037109,1.8637351989746094
12-16-57-18,8.917181015014648,5.109889984130859,1.6058616638183594
12-16-57-18,9.250591278076172,5.527473449707031,1.4417572021484375
12-16-57-18,9.582094192504883,5.351650238037109,1.4417572021484375
12-16-57-18,9.904439926147461,5.197803497314453,1.4886436462402344
12-16-57-18,10.251201629638672,5.263736724853516,1.4183158874511719
12-16-57-18,10.579652786254883,5.263736724853516,1.5589752197265625
12-16-57-18,10.899709701538086,5.615383148193359,1.2073249816894531
12-16-57-18,11.239604949951172,5.351650238037109,1.3010978698730469
12-16-57-19,11.590181350708008,5.285713195800781,1.7699623107910156
12-16-57-19,11.922063827514648,5.197803497314453,1.629302978515625
12-16-57-19,12.247844696044922,5.351650238037109,1.1838836669921875
12-16-57-19,-12.409590721130371,5.417583465576172,1.25421142578125
12-16-57-19,-12.066262245178223,5.197803497314453,1.6761894226074219
12-16-57-19,-11.741626739501953,5.109889984130859,1.6761894226074219
12-16-57-19,-11.411650657653809,5.0,1.3479843139648438
12-16-57-19,-11.078240394592285,5.043956756591797,1.371429443359375
12-16-57-19,-10.737201690673828,5.395603179931641,1.4183158874511719
12-16-57-19,-10.407224655151367,5.351650238037109,1.3479843139648438
12-16-57-19,-10.08449649810791,5.175823211669922,1.8637351989746094
12-16-57-19,-9.74917984008789,5.329669952392578,1.5355300903320312
12-16-57-19,-9.409666061401367,5.417583465576172,1.4886436462402344
12-16-57-19,-9.091897964477539,5.197803497314453,2.2857131958007812
12-16-57-19,-8.758106231689453,5.417583465576172,1.9340667724609375
12-16-57-19,-8.419736862182617,5.219779968261719,1.4652023315429688
12-16-57-20,-8.087854385375977,5.285713195800781,2.00439453125
12-16-57-20,-7.766270160675049,5.109889984130859,1.7699623107910156
12-16-57-20,-7.434004783630371,5.285713195800781,1.371429443359375
12-16-57-20,-7.093728542327881,5.461540222167969,1.7699623107910156
12-16-57-20,-6.773289203643799,5.285713195800781,1.9106216430664062
12-16-57-20,-6.453994274139404,5.109889984130859,1.7934074401855469
12-16-57-20,-6.118295669555664,5.527473449707031,1.8637351989746094
12-16-57-20,-5.789082050323486,5.329669952392578,1.8637351989746094
12-16-57-20,-5.477797985076904,5.0659332275390625,2.1919403076171875
12-16-57-20,-5.160410404205322,5.395603179931641,1.5355300903320312
12-16-57-20,-4.836156368255615,4.978023529052734,2.3560447692871094
12-16-57-20,-4.5130462646484375,5.0659332275390625,1.8871803283691406
12-16-57-20,-4.197566032409668,5.109889984130859,1.6527481079101562
12-16-57-20,-3.877126693725586,4.9340667724609375,2.2622718811035156
12-16-57-20,-3.552109718322754,5.0659332275390625,2.051280975341797
12-16-57-20,-3.2228965759277344,5.109889984130859,2.0981674194335938
12-16-57-21,-2.9070348739624023,5.131866455078125,2.2857131958007812
12-16-57-21,-2.579728126525879,5.043956756591797,2.0278396606445312
12-16-57-21,-2.2573814392089844,4.9340667724609375,2.0278396606445312
12-16-57-21,-1.9354162216186523,5.351650238037109,2.332599639892578
12-16-57-21,-1.6309986114501953,4.6923065185546875,3.082782745361328
12-16-57-21,-1.3101778030395508,5.131866455078125,2.0981674194335938
12-16-57-21,-0.9908828735351562,5.263736724853516,2.6842498779296875
12-16-57-21,-0.6712064743041992,5.109889984130859,2.6373634338378906
12-16-57-21,-0.3431367874145508,5.0659332275390625,2.168498992919922
12-16-57-21,-0.01392364501953125,5.395603179931641,2.00439453125
12-16-57-21,0.3225374221801758,4.6923065185546875,3.0593414306640625
12-16-57-21,0.6372547149658203,5.175823211669922,2.379486083984375
12-16-57-21,0.9710464477539062,5.74725341796875,2.75457763671875
12-16-57-21,1.3189516067504883,5.549449920654297,2.5670318603515625
12-16-57-21,1.6550312042236328,5.263736724853516,2.0981674194335938
12-16-57-21,1.9850082397460938,5.461540222167969,2.3091583251953125
12-16-57-22,2.3233766555786133,5.549449920654297,2.00439453125
12-16-57-22,2.6575498580932617,5.417583465576172,1.7934074401855469
12-16-57-22,2.9921035766601562,5.351650238037109,2.2857131958007812
12-16-57-22,3.3201723098754883,5.175823211669922,2.543590545654297
12-16-57-22,3.650148391723633,5.0659332275390625,2.3091583251953125
12-16-57-22,3.9885177612304688,5.351650238037109,2.121612548828125
12-16-57-22,4.32154655456543,5.417583465576172,2.2622718811035156
12-16-57-22,4.646181106567383,5.351650238037109,2.7780227661132812
12-16-57-22,4.986457824707031,5.263736724853516,2.0278396606445312
12-16-57-22,5.33131217956543,5.175823211669922,2.0278396606445312
12-16-57-22,5.652132034301758,5.109889984130859,2.7780227661132812
12-16-57-22,5.977912902832031,5.395603179931641,2.7311363220214844
12-16-57-22,6.312465667724609,5.549449920654297,1.7699623107910156
12-16-57-22,6.645875930786133,5.043956756591797,2.5670318603515625
12-16-57-22,6.966697692871094,5.197803497314453,2.801464080810547
12-16-57-22,7.302394866943359,5.197803497314453,2.2622718811035156
12-16-57-23,7.649538040161133,5.197803497314453,2.6608047485351562
12-16-57-23,7.977607727050781,5.549449920654297,1.9340667724609375
12-16-57-23,8.302242279052734,5.571430206298828,1.8871803283691406
12-16-57-23,8.644044876098633,5.043956756591797,2.918682098388672
12-16-57-23,8.975547790527344,5.175823211669922,2.2622718811035156
12-16-57-23,9.30361557006836,5.263736724853516,2.0278396606445312
12-16-57-23,9.636262893676758,5.417583465576172,2.6608047485351562
12-16-57-23,9.965858459472656,5.219779968261719,2.5904769897460938
12-16-57-23,10.309947967529297,5.351650238037109,2.1919403076171875
12-16-57-23,10.636873245239258,5.395603179931641,2.426372528076172
12-16-57-23,10.965324401855469,5.329669952392578,2.3560447692871094
12-16-57-23,11.299877166748047,5.263736724853516,2.6139183044433594
12-16-57-23,11.643205642700195,5.527473449707031,2.074726104736328
12-16-57-23,11.960975646972656,4.824176788330078,2.4732589721679688
12-16-57-23,12.29018783569336,5.0659332275390625,2.3560447692871094
12-16-57-23,-12.376401901245117,5.197803497314453,2.332599639892578
12-16-57-24,-12.035744667053223,5.109889984130859,2.824909210205078
12-16-57-24,-11.7053861618042,5.461540222167969,2.5670318603515625
12-16-57-24,-11.365873336791992,5.263736724853516,1.8402938842773438
12-16-57-24,-11.021781921386719,5.351650238037109,2.3560447692871094
12-16-57-24,-10.6834135055542,5.571430206298828,2.4967041015625
12-16-57-24,-10.337797164916992,5.6813201904296875,1.6761894226074219
12-16-57-24,-9.989509582519531,5.483516693115234,2.4029312133789062
12-16-57-24,-9.64732551574707,5.131866455078125,2.2388267517089844
12-16-57-24,-9.317730903625488,5.263736724853516,2.3091583251953125
12-16-57-24,-8.983940124511719,5.197803497314453,3.0358963012695312
12-16-57-24,-8.658159255981445,5.285713195800781,2.121612548828125
12-16-57-24,-8.317883491516113,5.417583465576172,1.9340667724609375
12-16-57-24,-7.996299743652344,5.0659332275390625,3.0124549865722656
12-16-57-24,-7.670137882232666,5.285713195800781,2.168498992919922
12-16-57-24,-7.335202693939209,5.285713195800781,1.6996345520019531
12-16-57-24,-6.999885559082031,5.0,2.3091583251953125
12-16-57-25,-6.682879447937012,5.0,2.6842498779296875
12-16-57-25,-6.3578619956970215,5.197803497314453,2.168498992919922
12-16-57-25,-6.0168232917785645,5.483516693115234,2.051280975341797
12-16-57-25,-5.687991142272949,5.131866455078125,2.824909210205078
12-16-57-25,-5.361066818237305,5.263736724853516,2.449817657470703
12-16-57-25,-5.021172046661377,5.6813201904296875,1.8402938842773438
12-16-57-25,-4.684329032897949,5.417583465576172,2.4732589721679688
12-16-57-25,-4.361982345581055,5.285713195800781,2.1450538635253906
12-16-57-25,-4.040017127990723,5.285713195800781,1.9575080871582031
12-16-57-25,-3.710421562194824,4.978023529052734,2.7311363220214844
12-16-57-25,-3.3819713592529297,5.197803497314453,2.543590545654297
12-16-57-25,-3.0699243545532227,5.483516693115234,1.7934074401855469
12-16-57-25,-2.7395668029785156,5.219779968261719,2.75457763671875
12-16-57-25,-2.417220115661621,5.263736724853516,2.2153854370117188
12-16-57-25,-2.089531898498535,5.329669952392578,1.7699623107910156
12-16-57-25,-1.7645149230957031,4.9340667724609375,2.871795654296875
12-16-57-26,-1.446364402770996,4.868133544921875,2.824909210205078
